"id","lat","lng","address","city","cp","description","icon","mail","name","tel","url"
"13","47.792398","6.316809"," Rue du Pommey","Sainte-Marie-en-Chaux","70300","Ste-Marie-en-Chaux","https://www.interval.coop/images/icons/icon-map-interval.png","stemarieenchaux@interval.coop","Ste-Marie-en-Chaux","03 84 94 98 51","/component/mymaplocations/ste-marie-en-chaux.html"
"14","47.695902","6.292028","Lieu dit Les Patis","Saulx","70240","Saulx","https://www.interval.coop/images/icons/icon-map-interval.png","saulx@interval.coop","Saulx","03 84 95 96 78","/component/mymaplocations/saulx.html"
"15","47.62799","6.1151"," Avenue des Rives du Lac","Vaivre-et-Montoille","70000","Vaivre-et-Montoille","https://www.interval.coop/images/icons/icon-map-interval.png","vaivre@interval.coop","Vaivre-et-Montoille","03 84 77 78 66","/component/mymaplocations/vaivre-et-montoille.html"
"16","47.659871","5.826303","2 Rue de la Fontaine","Vauconcourt-Nervezain","70120","Vauconcourt","https://www.interval.coop/images/icons/icon-map-interval.png","vauconcourt@interval.coop","Vauconcourt","03 84 92 01 07","/component/mymaplocations/vauconcourt.html"
"17","47.457256","5.763675","Route d'Igny","Angirey","70700","Angirey","https://www.interval.coop/images/icons/icon-map-interval.png","angirey@interval.coop","Angirey","03 84 32 74 49","/component/mymaplocations/angirey.html"
"18","47.450414","5.888651"," Champs Rambert","Frasne-le-Château","70700","Frasne-le-Château","https://www.interval.coop/images/icons/icon-map-interval.png","frasnelechateau@interval.coop","Frasne-le-Château","03 84 32 40 80","/component/mymaplocations/frasne-le-château.html"
"19","47.83638","5.906405","17 Rue du Stade","Jussey","70500","Jussey","https://www.interval.coop/images/icons/icon-map-interval.png","jussey@interval.coop","Jussey","03 84 92 22 67","/component/mymaplocations/jussey.html"
"20","47.737941","5.771677"," Route de Lavigney","Molay","70120","Melin","https://www.interval.coop/images/icons/icon-map-interval.png","melin@interval.coop","Melin","03 84 92 16 19","/component/mymaplocations/melin.html"
"21","47.568527","5.965645","18 Rue de la Gare","Noidans-le-Ferroux","70130","Noidans-le-Ferroux","https://www.interval.coop/images/icons/icon-map-interval.png","noidansleferroux@interval.coop","Noidans-le-Ferroux","03 84 68 41 33","/component/mymaplocations/noidans-le-ferroux.html"
"22","47.619238","5.706931","lieu-dit Le Bourg","Roche-et-Raucourt","70180","Roche-et-Raucourt","https://www.interval.coop/images/icons/icon-map-interval.png","roche@interval.coop","Roche-et-Raucourt","03 84 31 30 55","/component/mymaplocations/roche-et-raucourt.html"
"23","47.531775","5.824153","4 Place de l'École","Vellexon-Queutrey-et-Vaudey","70130","Vellexon","https://www.interval.coop/images/icons/icon-map-interval.png","vellexon@interval.coop","Vellexon","03 84 78 40 16","/component/mymaplocations/vellexon.html"
"24","47.480009","5.486799","15 Route de la Gare","Autrey-lès-Gray","70100","Autrey-les-Gray","https://www.interval.coop/images/icons/icon-map-interval.png","autrey@interval.coop","Autrey-les-Gray","03 84 32 30 79","/component/mymaplocations/autrey-les-gray.html"
"25","47.613332","5.524015","Rue de la Gare","Champlitte","70600","Champlitte","https://www.interval.coop/images/icons/icon-map-interval.png","champlitte@interval.coop","Champlitte","03 84 67 61 90","/component/mymaplocations/champlitte.html"
"26","47.298957","5.628049","Route de Pesmes","Chaumercenne","70140","Chaumercenne","https://www.interval.coop/images/icons/icon-map-interval.png","chaumercenne@interval.coop","Chaumercenne","03 84 32 22 08","/component/mymaplocations/chaumercenne.html"
"27","47.387317","5.755472","4 Rue de Cugney","Choye","70700","Choye","https://www.interval.coop/images/icons/icon-map-interval.png","choye@interval.coop","Choye","03 84 32 83 32","/component/mymaplocations/choye.html"
"28","47.319687","5.746791","Route d'Avrigney","Cult","70150","Cult","https://www.interval.coop/images/icons/icon-map-interval.png","cult","Cult","03 84 31 72 82","/component/mymaplocations/cult.html"
"29","47.380998","5.548998","1 Rue d'Apremont","Germigney","70100","Germigney","https://www.interval.coop/images/icons/icon-map-interval.png","germigney@interval.coop","Germigney","03 84 67 48 23","/component/mymaplocations/germigney.html"
"30","47.288643","5.65643","Route de Chaumercenne","Montagney","70140","Montagney","https://www.interval.coop/images/icons/icon-map-interval.png","montagney@interval.coop","Montagney","03 84 32 20 34","/component/mymaplocations/montagney.html"
"31","47.273075","5.876943","Lieu-dit Champs Breland","Noironte","25170","Noironte","https://www.interval.coop/images/icons/icon-map-interval.png","noironte@interval.coop","Noironte","03 81 58 17 24","/component/mymaplocations/noironte.html"
"32","47.352505","5.441291","Rue de la Gare","Talmay","21270","Talmay","https://www.interval.coop/images/icons/icon-map-interval.png","talmay@interval.coop","Talmay","03 80 36 15 04","/component/mymaplocations/talmay.html"
"33","47.337039","5.629212","35 Avenue de la Gare","Valay","70140","Valay","https://www.interval.coop/images/icons/icon-map-interval.png","valay@interval.coop","Valay","03 84 31 50 57","/component/mymaplocations/valay.html"
"34","47.36773","5.719222","Rue de Gray","Venère","70100","Venère","https://www.interval.coop/images/icons/icon-map-interval.png","venere@interval.coop","Venère","03 84 31 52 69","/component/mymaplocations/venère.html"
"35","47.136929","5.596282","20 Rue du Moulin Rouge","Audelange","39700","Moulin Rouge","https://www.interval.coop/images/icons/icon-map-interval.png","","Moulin Rouge","03 84 70 60 12","/component/mymaplocations/moulin-rouge.html"
"36","46.996084","5.343252"," D222","Saint-Loup","39120","Chemin","https://www.interval.coop/images/icons/icon-map-interval.png","chemin@interval.coop","Chemin","03 84 70 80 57","/component/mymaplocations/chemin.html"
"37","47.144366","5.514532","11 Rue de Dole","Archelange","39290","Archelange","https://www.interval.coop/images/icons/icon-map-interval.png","archelange@interval.coop","Archelange","03 84 72 61 74","/component/mymaplocations/archelange.html"
"38","46.963503","5.413772","Zone Industrielle","Chaussin","39120","Chaussin","https://www.interval.coop/images/icons/icon-map-interval.png","chaussin","Chaussin","03 84 81 76 67","/component/mymaplocations/chaussin.html"
"39","47.145709","5.657418","Zone industrielle","Orchamps","39700","Orchamps","https://www.interval.coop/images/icons/icon-map-interval.png","orchamps@interval.coop","Orchamps","03 84 71 36 79","/component/mymaplocations/orchamps.html"
"40","47.0222","5.50871"," Chemin de la Loye","Parcey","39100","Parcey","https://www.interval.coop/images/icons/icon-map-interval.png","parcey@interval.coop","Parcey","03 84 71 00 83","/component/mymaplocations/parcey.html"
"42","46.939833","5.333022","11 Rue Lavigne","Petit-Noir","39120","Petit-Noir","https://www.interval.coop/images/icons/icon-map-interval.png","petitnoir@interval.coop","Petit-Noir","03 84 81 65 35","/component/mymaplocations/petit-noir.html"
"43","47.187287","5.641133"," La Forêt","Sermange","39700","Sermange","https://www.interval.coop/images/icons/icon-map-interval.png","sermange@interval.coop","Sermange","03 84 81 02 61","/component/mymaplocations/sermange.html"
"44","47.031827","5.323896","4 Rue François Bachut","Saint-Aubin","39410","St-Aubin","https://www.interval.coop/images/icons/icon-map-interval.png","staubin@interval.coop","St-Aubin","03 84 70 11 87","/component/mymaplocations/st-aubin.html"
"45","47.046567","5.421024"," Avenue de Friesenheim","Tavaux","39500","Tavaux","https://www.interval.coop/images/icons/icon-map-interval.png","tavaux@interval.coop","Tavaux","03 84 71 45 06","/component/mymaplocations/tavaux.html"
"46","46.749457","5.461792","19 Avenue Jean de Chalon-Arlay","Bletterans","39140","Bletterans","https://www.interval.coop/images/icons/icon-map-interval.png","bletterans@interval.coop","Bletterans","03 84 85 02 73","/component/mymaplocations/bletterans.html"
"47","46.996511","5.693183","1 Grande Rue","Chamblay","39380","Chamblay","https://www.interval.coop/images/icons/icon-map-interval.png","chamblay@interval.coop","Chamblay","03 84 37 63 34","/component/mymaplocations/chamblay.html"
"48","46.891971","5.566946"," La Mare aux Renards","Colonne","39800","Colonne","https://www.interval.coop/images/icons/icon-map-interval.png","colonne@interval.coop","Colonne","03 84 37 58 51","/component/mymaplocations/colonne.html"
"49","46.991538","5.605802"," Route de Belmont","Mont-sous-Vaudrey","39380","Mont-Sous-Vaudrey","https://www.interval.coop/images/icons/icon-map-interval.png","mtsous vaudrey@interval.coop","Mont-Sous-Vaudrey","03 84 81 52 09","/component/mymaplocations/mont-sous-vaudrey.html"
"50","46.583768","5.441668"," D97","Orbagna","39190","Orbagna","https://www.interval.coop/images/icons/icon-map-interval.png","orbagna@interval.coop","Orbagna","03 84 25 19 48","/component/mymaplocations/orbagna.html"
"51","46.433198","5.335069","1 Place de la Gare","Saint-Amour","39160","St-Amour","https://www.interval.coop/images/icons/icon-map-interval.png","stamour@interval.coop","St-Amour","03 84 48 73 01","/component/mymaplocations/saint-amour.html"
"52","46.752042","5.253721","104 Route de Sens","Saint-Germain-du-Bois","71330","St-Germain-du-Bois","https://www.interval.coop/images/icons/icon-map-interval.png","stgermain@interval.coop","St-Germain-du-Bois","03 85 72 01 78","/component/mymaplocations/st-germain-du-bois.html"
"53","46.920992","5.697181"," Sur les Essards","Vadans","39600","Vadans","https://www.interval.coop/images/icons/icon-map-interval.png","vadans@interval.coop","Vadans","03 84 66 15 71","/component/mymaplocations/vadans.html"
"54","46.923328","5.886052","29 Route de Champagnole","Salins-les-Bains","39110","Salins-les-Bains J","https://www.interval.coop/images/icons/icon-map-interval.png","","Salins-les-Bains J","03 84 73 07 34","/component/mymaplocations/salins-les-bains-j.html"
"55","46.40266","5.560764"," Zone Artisanale La Forêt","Arinthod","39240","Arinthod","https://www.interval.coop/images/icons/icon-map-interval.png","arinthod@interval.coop","Arinthod","03 84 48 57 56","/component/mymaplocations/arinthod.html"
"56","46.743522","5.917333","30 avenue Clémenceau","Champagnole","39300","Champagnole","https://www.interval.coop/images/icons/icon-map-interval.png","champagnole@interval.coop","Champagnole","03 84 52 13 05","/component/mymaplocations/champagnole.html"
"57","46.531031","5.601458","Chemin des Alamans","Orgelet","39270","Orgelet","https://www.interval.coop/images/icons/icon-map-interval.png","orgelet@interval.coop","Orgelet","03 84 25 47 95","/component/mymaplocations/orgelet.html"
"58","46.673715","5.580429","Route de Champagnole","Perrigny","39570","Perrigny","https://www.interval.coop/images/icons/icon-map-interval.png","perrigny@interval.coop","Perrigny","03 84 24 23 30","/component/mymaplocations/perrigny.html"
"59","46.59491","5.629764","Rue des écoles","Poids-de-Fiole","39570","Poids de Fiole","https://www.interval.coop/images/icons/icon-map-interval.png","poidsdefiole@interval.coop","Poids de Fiole","03 84 48 36 83","/component/mymaplocations/poids-de-fiole.html"
"60","46.380812","5.857596","27 bis Rue Carnot","Saint-Claude","39200","St-Claude","https://www.interval.coop/images/icons/icon-map-interval.png","","St-Claude","03 84 45 07 09","/component/mymaplocations/st-claude-2017-12-21-08-23-17.html"
"61","47.462157","5.607663","Rond-Point du 1er Mai","Arc-lès-Gray","70100","Arc-lès-Gray Motoculture","https://www.interval.coop/images/icons/icon-map-jardival.png","","Arc-lès-Gray Motoculture","03 84 65 18 64","/component/mymaplocations/arc-lès-gray-motoculture.html"
"62","46.919648","5.765426","29 Route de Villeneuve","Arbois","39600","Arbois J","https://www.interval.coop/images/icons/icon-map-jardival.png","https://www.jardival.fr/magasin/magasin-jardival-de-arbois/","Arbois J","+33 3 84 66 50 35","/component/mymaplocations/arbois-j.html"
"63","47.513145","6.998776","4 Boulevard de la Liberté","Delle","90100","Delle","https://www.interval.coop/images/icons/icon-map-jardival.png","delle@jardival.fr","Delle","03 84 56 67 52","/component/mymaplocations/delle.html"
"64","46.919648","5.765426","29 Route de Villeneuve","Arbois","39600","Arbois","https://www.interval.coop/images/icons/icon-map-interval.png","","Arbois","03 84 66 13 78","/component/mymaplocations/arbois.html"
"66","46.403814","5.561655"," La Forêt","Arinthod","39240","Arinthod J","https://www.interval.coop/images/icons/icon-map-jardival.png","arinthod@jardival.fr","Arinthod J","03 84 48 57 56","/component/mymaplocations/arinthod-j.html"
"67","46.4561","5.356006","531 Route de Saint-Amour","Balanod","39160","Balanod","https://www.interval.coop/images/icons/icon-map-jardival.png","balanod@jardival.fr","Balanod","03 84 47 39 46","/component/mymaplocations/balanod.html"
"68","46.747292","5.458907","5 Avenue Jean de Chalon-Arlay","Bletterans","39140","Bletterans  J","https://www.interval.coop/images/icons/icon-map-jardival.png","bletterans@jardival.fr","Bletterans  J","03 84 44 13 47","/component/mymaplocations/bletterans-j.html"
"69","47.415637","6.779752","8-10 Rue des Pruniers","Bourguignon","25150","Bourguignon","https://www.interval.coop/images/icons/icon-map-jardival.png","bourguignon@jardival.fr","Bourguignon","03 81 34 41 31","/component/mymaplocations/bourguignon.html"
"70","47.415637","6.779752","8-10 Rue des Pruniers","Bourguignon","25150","Bourguignon J","https://www.interval.coop/images/icons/icon-map-jardival.png","bourguignon@jardival.fr","Bourguignon J","03 81 34 41 31","/component/mymaplocations/bourguignon-j.html"
"71","46.743463","5.91522","30 avenue Clémenceau","Champagnole","39300","Champagnole J","https://www.interval.coop/images/icons/icon-map-jardival.png","champagnole@jardival.fr","Champagnole J","03 84 52 13 05","/component/mymaplocations/champagnole-j.html"
"72","47.88136","6.299289","9 Avenue Jacques Parisot","Corbenay","70320","Corbenay","https://www.interval.coop/images/icons/icon-map-jardival.png","corbenay@jardival.fr","Corbenay","03 84 49 03 13","/component/mymaplocations/corbenay.html"
"73","47.615811","6.852878","32 Rue des Nos","Danjoutin","90400","Danjoutin","https://www.interval.coop/images/icons/icon-map-jardival.png","danjoutin@jardival.fr","Danjoutin","03 84 21 33 51","/component/mymaplocations/danjoutin.html"
"74","47.081044","5.487484","2 Rue Costes et Bellonte","Dole","39100","Dole","https://www.interval.coop/images/icons/icon-map-jardival.png","dole@jardival.fr","Dole","03 84 72 10 07","/component/mymaplocations/dole.html"
"75","47.887999","6.404729","27 Grande Rue","Fougerolles","70220","Fougerolles","https://www.interval.coop/images/icons/icon-map-jardival.png","fougerolles@jardival.fr","Fougerolles","03 84 49 53 20","/component/mymaplocations/fougerolles.html"
"76","47.552056","5.854069","30 Avenue des Peupliers","Fresne-Saint-Mamès","70130","Fresne St Mamès","https://www.interval.coop/images/icons/icon-map-jardival.png","fresnestmames@jardival.fr","Fresne St Mamès","03 84 78 01 22","/component/mymaplocations/fresne-st-mamès.html"
"77","47.452971","5.584072","Rue de la Gare","Gray","70100","Gray","https://www.interval.coop/images/icons/icon-map-jardival.png","gray@jardival.fr","Gray","03 84 65 15 76","/component/mymaplocations/gray-2017-12-20-21-50-18.html"
"78","47.827817","5.89771","20 avenue Victor Hugo","Jussey","70500","Jussey J","https://www.interval.coop/images/icons/icon-map-jardival.png","jussey@jardival.fr","Jussey J","03 84 92 21 48","/component/mymaplocations/jussey-j.html"
"79","47.827625","5.899118","16 Avenue Victor Hugo","Jussey","70500","Jussey J Motoculture","https://www.interval.coop/images/icons/icon-map-jardival.png","jusseymotoculture@jardival.fr","Jussey J Motoculture","03 84 68 11 29","/component/mymaplocations/jussey-j-motoculture.html"
"80","46.675504","5.545055","20 Place du Maréchal Juin","Lons-le-Saunier","39000","Lons-le-Saunier","https://www.interval.coop/images/icons/icon-map-jardival.png","lons@jardival.fr","Lons-le-Saunier","03 84 24 08 06","/component/mymaplocations/lons-le-saunier.html"
"81","47.666147","6.503943","Route de la Saline","Lure","70200","Lure J","https://www.interval.coop/images/icons/icon-map-jardival.png","lure@jardival.fr","Lure J","03 84 30 16 50","/component/mymaplocations/lure-j.html"
"82","47.812779","6.366958","Avenue du Maréchal Turenne","Luxeuil-les-Bains","70300","Luxeuil-les-Bains","https://www.interval.coop/images/icons/icon-map-jardival.png","luxeuil@jardival.fr","Luxeuil-les-Bains","03 84 40 03 25","/component/mymaplocations/luxeuil-les-bains.html"
"83","47.292436","5.779813","25 Avenue de la Gare","Marnay","70150","Marnay J","https://www.interval.coop/images/icons/icon-map-jardival.png","marnay@jardival.fr","Marnay J","03 84 31 72 55","/component/mymaplocations/marnay-j.html"
"84","47.145709","5.657418","Zone artisanale","Orchamps","39700","Orchamps J","https://www.interval.coop/images/icons/icon-map-jardival.png","orchamps@jardival.fr","Orchamps J","03 84 71 36 79","/component/mymaplocations/orchamps-j.html"
"85","46.530995","5.601578","Chemin des Alamans","Orgelet","39270","Orgelet J","https://www.interval.coop/images/icons/icon-map-jardival.png","orgelet@jardival.fr","Orgelet J","03 84 25 47 95","/component/mymaplocations/orgelet-j.html"
"86","46.67376","5.58029","700 Route de Champagnole","Perrigny","39570","Perrigny J","https://www.interval.coop/images/icons/icon-map-jardival.png","perrigny@jardival.fr","Perrigny J","03 84 24 23 30","/component/mymaplocations/perrigny-j.html"
"87","47.380849","6.768704","6 Rue de la Gare","Pont-de-Roide","25150","Pont de Roide","https://www.interval.coop/images/icons/icon-map-jardival.png","pontderoide@jardival.fr","Pont de Roide","03 81 92 40 57","/component/mymaplocations/pont-de-roide.html"
"88","47.691898","6.052332","14 Route de Villers","Port-sur-Saône","70170","Port/Saône","https://www.interval.coop/images/icons/icon-map-jardival.png","portsursaone@jardival.fr","Port/Saône","03 84 91 68 92","/component/mymaplocations/port-saône.html"
"89","47.434448","6.061492","1 Rue Alexandre Graham Bell","Rioz","70190","Rioz J","https://www.interval.coop/images/icons/icon-map-jardival.png","rioz@jardival.fr","Rioz J","03 84 91 90 48","/component/mymaplocations/rioz-j.html"
"90","47.697572","6.644259","5 Rue du Plain","Ronchamp","70250","Ronchamp","https://www.interval.coop/images/icons/icon-map-jardival.png","ronchamp@jardival.fr","Ronchamp","03 84 63 55 28","/component/mymaplocations/ronchamp.html"
"91","46.923293","5.885939","Route de Champagnole","Salins-les-Bains","39110","Salins les Bains","https://www.interval.coop/images/icons/icon-map-jardival.png","salins@jardival.fr","Salins les Bains","03 84 73 07 34","/component/mymaplocations/salins-les-bains-2017-12-20-22-12-32.html"
"92","46.38088","5.858091","27 rue Carnot","Saint-Claude","39200","St Claude","https://www.interval.coop/images/icons/icon-map-jardival.png","stclaude@jardival.fr","St Claude","03 84 45 07 09","/component/mymaplocations/st-claude.html"
"93","46.753014","5.252417","Zone artisanale","Saint-Germain-du-Bois","71330","St Germain du Bois J","https://www.interval.coop/images/icons/icon-map-jardival.png","stgermaindubois@jardival.fr","St Germain du Bois J","03 85 72 02 78","/component/mymaplocations/st-germain-du-bois-j.html"
"94","47.622364","6.138127","Rue des Faines","Noidans-lès-Vesoul","70000","Noidans les Vesoul","https://www.interval.coop/images/icons/icon-map-jardival.png","vesoul@jardival.fr","Noidans les Vesoul","03 84 76 59 80","/component/mymaplocations/noidans-les-vesoul.html"
"95","47.549829","6.432081","20 Rue de la Croix Marmin","Villersexel","70110","Villersexel J","https://www.interval.coop/images/icons/icon-map-jardival.png","villersexel@jardival.fr","Villersexel J","03 84 63 41 84","/component/mymaplocations/villersexel-j.html"
