"siteId","lat","lng","adresseBtq","adresseCompl","adresseCp","adresseLieuDit","adresseNum","adresseVille","adresseVoie","emailSite","comentAprem","comentMatin","date","horaireApremDeb","horaireApremFin","horaireMatinDeb","horaireMatinFin","imageUrl","nameSite","numFax","numTel","textAprem","textMatin","typeHoraireAprem","typeHoraireMatin","typeSite","typeSiteId"
"358","49.1665","0.7853358","","","27800","","","HARCOURT","Hameau de >Tournay","harcourt@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Harcourt - (Dépôt Appro Collecte)","0232452642","0232451895","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"132","49.23411","0.8738655","","","27370","","","LA HAYE DU THEIL","Route de St Pierre des Fleu","hayedutheil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","La Haye du Theil - (Dépôt Appro Collecte)","0232357045","0232354980","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"262","49.75075","0.87981427","","","","","","SAINT LAURENT EN CAUX","","","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","SAINT LAURENT EN CAUX - (Dépôt Appro Collecte)","","","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"102","48.881317","0.98468035","","","27240","","","LES ESSARTS","8 route de Damville","silolesessarts@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","LES ESSARTS - (Dépôt Appro Collecte)","0232299173","0232297465","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"368","49.22984","0.49800745","","","27560","","","LIEUREY","130 Route de Giverville","lieurey@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Lieurey - (Dépôt Appro Collecte)","0232429730","0232579234","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"339","48.92476","0.4733761","","","27390","","","SAINT DENIS D AUGERONS","CD 819","montreuil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Montreuil l Argille - (Dépôt Appro Collecte)","0232440399","0232445028","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"279","49.211224","0.6372178","","","27800","","","NEUVILLE SUR AUTHOU ","Le Mesnil","siloneuville@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","NEUVILLE SUR AUTHOU - (Dépôt Appro Collecte)","0232459952","0232464485","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"346","49.14819","0.90233356","","","27110","","","LE NEUBOURG","Rue du Ressault","leneubourg@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Le Neubourg - (Centre administratif)","0232356975","0232350028","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif","1"
"378","49.377888","0.7335311","","","27350","","","ROUTOT","Route de Bourneville","routot@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Routot - (Dépôt Appro Collecte)","0232573666","0232573175","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"169","48.98029","0.6407116","","","27330","","","EPINAY ","l Aubrière","","","","24/07/2019","","","","","fermé","EPINAY - (Dépôt Appro Collecte)","","","Fermé","Fermé","2","2","Dépôt Appro Collecte","3"
"103","48.81383","1.0599372","","","27240","","","GRANDVILLIERS","Route de Damville","silogranvilliers@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","GRANDVILLIERS - (Dépôt Appro Collecte)","0232345745","0232345640","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"309","48.99199","0.84384036","","","27190","","","COLLANDRES QUINCARNON","Route du Tilleul Dame Agnés","romilly@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Romilly - (Dépôt Appro Collecte)","0232302408","0232300288","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"264","48.699486","0.8155685","","","27820","","","SAINT CHRISTOPHE SUR AVRE ","Nonfloux","silosaintchristophe@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","SAINT CHRISTOPHE SUR AVRE - (Dépôt Appro Collecte)","0232328464","0232321679","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"313","49.00456","0.77243674","","","27410","","","LE NOYER EN OUCHE","Le Bois Chevreuil","","","","24/07/2019","","","","","fermé","Le Noyer en Ouche - (Dépôt Collecte Moisson)","","0232444531","Fermé","Fermé","2","2","Dépôt Collecte Moisson","5"
"278","49.10899","0.5296967","","","27300","","","SAINT MARTIN DU TILLEUL ","Le Bourg","","","","24/07/2019","","","","","fermé","SAINT MARTIN DU TILLEUL - (Dépôt Appro Collecte)","0232468922","0232454145","Fermé","Fermé","2","2","Dépôt Appro Collecte","3"
"104","48.6841","0.8078718","","","27820","","","ARMENTIERES SUR AVRE","626 rue Denis Pierre GENTIL","siloarmentieres@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","ARMENTIÈRES SUR AVRE - (Dépôt Appro Collecte)","0232320288","0232321743","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"144","48.68423","0.96536475","","","28270","","","BEAUCHE ","Chemin Départemental 117","silobeauche@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","BEAUCHE - (Dépôt Appro Collecte)","0237624046","0237624289","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"558","48.815216","0.72914267","","","27250","","","Bois Arnault","La gare","siloboisarnault@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","BOIS ARNAULT - (Dépôt Appro Collecte)","0232240597","0232246251","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"106","48.832302","0.9221952","","","27160","","","BRETEUIL SUR ITON ","Place de la Gare","silobreteuil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","BRETEUIL SUR ITON - (Dépôt Appro Collecte)","0232297906","0232297043","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"388","49.09141","1.0462267","","","27930","","","BACQUEPUIS","6, rue du Clos de l Ecu","bacquepuis@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Bacquepuis - (Dépôt Appro Collecte)","0232343007","0232340074","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"369","49.344166","0.34124872","","","27210","","","BEUZEVILLE","507, rue Pierre Campion","beuzeville@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Beuzeville - (Centre administratif annexe)","0232563809","0232422185","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif annexe","2"
"386","49.270718","0.78356403","","","27520","","","BOISSEY LE CHATEL","Rue des Longs champs","boisseychatel@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Boissey - (Dépôt Appro Collecte)","0232563782","0232426179","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"348","49.166298","0.57565576","","","27300","","","BOISSY LAMBERVILLE","La Bretagne","boissy@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Boissy Lamberville (La Bretagne) - (Centre administratif annexe)","0232437906","0232430157","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif annexe","2"
"389","48.835545","0.9137052","","","27160","","","BRETEUIL SUR ITON","ZI du Clos Fouquet","breteuil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Breteuil sur Iton - (Dépôt Appro Collecte)","0232353986","0232299418","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"100","49.207626","1.0734856","","","27400","","","CRASVILLE","Route de Quatremare","crasville@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Crasville - (Dépôt Appro Collecte)","0232505029","0232506212","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"263","49.06021","0.91024846","","","27190","","","EMANVILLE ","25 rue d'Avrilly","siloemanville@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","EMANVILLE - (Dépôt Appro Collecte)","0232354269","0232354337","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"399","49.15978","1.3349897","","","27600","","","GAILLON","les Douaires","","","","24/07/2019","","","","","fermé","Les Douaires/Gaillon - (Dépôt Collecte Engrais)","0232774016","0232530744","Fermé","Fermé","2","2","Dépôt Collecte Engrais","4"
"265","49.191868","1.0286274","","","27110","","","DAUBEUF LA CAMPAGNE ","","silodaubeuf@natup.coop","","","24/07/2019","","","","","fermé","DAUBEUF LA CAMPAGNE - (Dépôt Appro Collecte)","","","Fermé","Fermé","2","2","Dépôt Appro Collecte","3"
"319","48.95992","0.941678","","","27190","","","CONCHES EN OUCHE","Rue Eugène Pottier","","","","24/07/2019","","","","","fermé","Conches en Ouche - (Silo de report)","0232602778","0232302083","Fermé","Fermé","2","2","Silo de report","6"
"354","49.173786","0.6590137","","","27800","","","BOISNEY","","","","","24/07/2019","","","","","fermé","Boisney (Hecmanville) - (Dépôt Collecte Moisson)","","","Fermé","Fermé","2","2","Dépôt Collecte Moisson","5"
"325","49.35471","0.81678474","","","27310","","","BOURG ACHARD","Route de Montfort","","","","24/07/2019","","","","","moisson","Bourg Achard - (Dépôt Collecte Moisson)","","0232420892","Ouverture Moisson","Ouverture Moisson","4","4","Dépôt Collecte Moisson","5"
"338","48.9857","0.46161932","","les petits prés","27270","","","LA CHAPELLE","route nationale 138","","","","24/07/2019","","","","","moisson","La Chapelle Gauthier - (Dépôt Collecte Moisson)","","","Ouverture Moisson","Ouverture Moisson","4","4","Dépôt Collecte Moisson","5"
"308","49.096798","0.8887081","","","27170","","","COMBON","3, rue de la Croix Lair","","","","24/07/2019","","","","","moisson","Combon - (Dépôt Collecte Moisson)","","0232352876","Ouverture Moisson","Ouverture Moisson","4","4","Dépôt Collecte Moisson","5"
"347","48.83155","1.1207696","","","27240","","","BUIS SUR DAMVILLE","2, rue des Vanneaux","buisdamville@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Buis/Damville - (Dépôt Appro Collecte)","0232626102","0232348311","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"185","49.7506","0.8673432","","","76560","","","REUVILLE","Route de Prétot Vicquemare","reuville@natup.coop","","","24/07/2019","13:30","17:30","08:30","12:00","ouvert","Reuville - (Dépôt Collecte Engrais)","","0235562562","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Dépôt Collecte Engrais","4"
"536","49.638165","1.008889","","","76890","","","ST OUEN DU BREUIL","Rue Guillaume Le Conquérant","stouendubreuil@natup.coop","","","24/07/2019","13:30","17:30","08:30","12:00","ouvert","Saint Ouen du Breuil - (Silo de report)","","0235325795","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Silo de report","6"
"380","49.713497","0.4002067","","","76400","","","TOURVILLE LES IFS","Les Ifs","tourvillei@natup.coop","","","24/07/2019","13:30","17:30","08:30","12:00","ouvert","Tourville les Ifs - (Dépôt Appro Collecte)","","0235291628","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"370","49.678093","1.0466046","","","76890","","","TOTES","Rue Guy de Maupassant","totes@natup.coop","","","24/07/2019","13:30","17:30","08:30","12:00","ouvert","Tôtes - (Dépôt Appro Collecte)","0232802503","0235329116","De 13:30 à 17:30","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"550","49.566433","1.2966353","","","76750","","","VIEUX MANOIR","CD 206","silovieuxmanoir@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Vieux Manoir - (Silo de report)","","0235341074","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Silo de report","6"
"182","49.744747","2.6455154","","","80910","","","ARVILLERS","Faubourg de la gare","siloarvillers@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Arvillers - (Dépôt Appro Collecte)","","","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"177","49.97404","2.4520264","","","80260","","","BEHENCOURT","17 rue de Franvilllers","silobehencourt@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Behencourt - (Dépôt Appro Collecte)","0322405706","0322405103","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"176","49.90844","2.5060966","","BP 70216","80800","","","CORBIE","2 quai canal","silocorbie@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Corbie Depot - (Dépôt Appro Collecte)","0322480152","0322480835","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"190","49.612324","1.5445054","","","76440","","","FORGES LES EAUX","Rue Leroux","forges@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Forges les Eaux - (Dépôt Appro Collecte)","0235092917","0235905142","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"160","49.888096","1.4276315","","","76660","","","FRESNOY FOLNY","Rue de la Mairie","fresnoy@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Fresnoy Folny - (Dépôt Appro Collecte)","0235936339","0235938570","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"181","49.736267","2.774319","","","80700","","","FRESNOY LES ROYE","Rue Etevez","silofresnoy@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Fresnoy les Roye - (Dépôt Appro Collecte)","","0322878228","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"240","49.785843","1.2255728","","","76950","","","LES GRANDES VENTES","Route de Dieppe","grandesventes@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Grandes Ventes - (Dépôt Collecte Engrais)","0235858110","0235834288","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Collecte Engrais","4"
"200","49.84492","1.9005057","","","80640","","","HORNOY LE BOURG","Rue du Moulin","hornoy@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Hornoy - (Centre administratif annexe)","0322902347","0322906019","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif annexe","2"
"232","49.397568","1.8754112","","","60990","","","LALANDELLE","Route de Vauroux CD 129","lalandelle@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Lalandelle - (Dépôt Appro Collecte)","0344812247","0344816329","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"250","49.83132","1.4008833","","","76660","","","LONDINIERES","Route de Dieppe","londinieres@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Londinières - (Dépôt Collecte Engrais)","0235943623","0235938010","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Collecte Engrais","4"
"172","49.95952","2.564715","","","80800","","","RIBEMONT SUR ANCRE","route de la Vieville","","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Ribemont sur Ancre - (Dépôt Appro Collecte)","","0322406013","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"180","49.813732","2.7014391","","","80170","","","ROSIERES EN SANTERRE","12 rue Gambetta","silorosieres@natup.com","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Rosieres en Santerre - (Dépôt Appro Collecte)","0322884689","0322884682","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"142","49.904106","1.2966652","","","76630","","","SAINT QUENTIN AU BOSC","Lieu dit les Bahuts","stquentin@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Saint Quentin au Bosc - (Centre administratif annexe)","0235851562","0235835054","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif annexe","2"
"105","49.81673","1.2651452","","","76510","","","SAINT VAAST D EQUIQUEVILLE","CD 22","stvaaste@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Saint Vaast d Equiqueville - (Dépôt Appro Collecte)","","0235834306","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"520","49.904106","1.2966652","","","76630","","","ST QUENTIN AU BOSC","","silostquentin@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Saint Quentin au Bosc - (Silo de report)","0235851562","0235852024","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Silo de report","6"
"280","49.733738","1.4400868","","","76270","","","NEUFCHATEL EN BRAY","1, place de la Gare","neufchatel@natup.coop","","","24/07/2019","","","","","moisson","Neufchatel - (Dépôt Collecte Engrais)","","0235930232","Ouverture Moisson","Ouverture Moisson","4","4","Dépôt Collecte Engrais","4"
"230","49.480427","1.7230147","","","76221","","","GOURNAY EN BRAY","Rue Boucault","gournay@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Gournay en Bray - (Dépôt Appro Collecte)","0235092924","0235900173","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"166","49.913696","1.4911333","","","76660","","","GRANDCOURT","23, rue de l Eglise","","","","24/07/2019","","","","","fermé","Grandcourt - (Dépôt Collecte Engrais)","","0235938937","Fermé","Fermé","2","2","Dépôt Collecte Engrais","4"
"162","48.624336","0.9181204","","","28340","","","LAMBLORE ","Lieudit Boisselières","silolamblore@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","LAMBLORE - (Dépôt Appro Collecte)","0237375824","0237376031","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"320","49.3097","1.3196986","","","27380","","","AMFREVILLE LES CHAMPS","Rue du Pavillon","","","","24/07/2019","","","","","rdv","Amfreville les Champs - (Dépôt Appro Collecte)","","0232499699","Sur Rendez-vous","Sur Rendez-vous","3","3","Dépôt Appro Collecte","3"
"500","49.310593","1.4309865","","","27440","","","ECOUIS","Lieu dit Brémule","silobremule@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Brémule - (Silo de report)","","0232694399","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Silo de report","6"
"316","48.909866","1.4379978","","","27780","","","GARENNES SUR EURE","2, route d Anet","bueil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Bueil - (Dépôt Appro Collecte)","0232369407","0232365828","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"107","48.79613","1.4943879","","","28410","","","BÛ ","Rue de l'Echiquier","silobu@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","BÛ - (Dépôt Appro Collecte)","0237821622","0237821003","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"275","48.5427","1.3847532","","","28300","","","CLÉVILLIERS ","2 rue de Chateauneuf","siloclevilliers@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","CLÉVILLIERS - (Dépôt Appro Collecte)","0237239379","0237239634","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"397","48.88117","1.1386846","","","27240","","","CORNEUIL ","7 rue du 11 Novembre 1918","silocorneuil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","CORNEUIL - (Dépôt Appro Collecte)","0232343413","0232345077","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"398","48.801456","1.2629883","","","27320","","","COURDEMANCHE ","Chemin de la Petite Garenne","silocourdemanche@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","COURDEMANCHE - (Dépôt Appro Collecte)","0237480742","0237480797","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"357","49.007664","1.3065182","","","27120","","","CAILLOUET ORGEVILLE","Rue Premoult","caillouet@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","Caillouet - (Dépôt Appro Collecte)","0232260079","0232361342","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"148","48.536106","1.1520249","","","28250","","","DIGNY ","18 rue du Maréchal Leclerc","silodigny@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","DIGNY - (Dépôt Appro Collecte)","0237290036","0237290038","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"191","48.735817","1.3649079","","","28109","","","DREUX CEDEX","81 bis rue Saint Martin - B","","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","DREUX - (Centre administratif)","0237427081","0237388250","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Centre administratif","1"
"281","48.949223","1.3035883","","","27220","","","FRESNEY ","11 rue de Moissons ","","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","FRESNEY - (Dépôt Appro Collecte)","","0232368318","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"374","48.946278","1.3103876","","","27220","","","FRESNEY ","19 rue de Moissons - La Lan","silofresneyvil@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","FRESNEY VILLETTE - (Dépôt Appro Collecte)","0232366883","0232368171","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"152","48.70097","1.2840763","","","28500","","","GARANCIERES EN DROUAIS","Rue de Boissy en Drouais - ","silogarancieres@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","GARANCIÈRES - (Dépôt Appro Collecte)","0237436808","0237436182","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"153","48.70502","1.3369623","","","28500","","","GARNAY ","Lieudit Fortisle - route de","silogarnay@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","GARNAY - (Dépôt Appro Collecte)","0237826349","0237826090","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"248","48.712105","1.0461347","","","28270","","","FESSANVILLIERS ","Beauvilliers - Route de Ve","silofessanvilliers@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","FESSANVILLIERS - (Dépôt Appro Collecte)","0237482567","0237482360","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"229","48.703552","1.1753731","","","28270","","","LAONS ","1 Rue des Silos","silolaons@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","LAONS - (Dépôt Appro Collecte)","0237381865","0237381008","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"560","48.8465","1.2743124","","","27220","","","Lignerolles","3 rue de la gare","silolignerolles@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","LIGNEROLLES - (Dépôt Appro Collecte)","0232376789","0232373515","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"342","49.362663","1.5538634","","","27150","","","LA NEUVE GRANGE","Route de Frileuse","neuvegrange@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","La Neuve Grange - (Dépôt Appro Collecte)","0232556815","0232559637","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"277","48.62866","1.1472069","","","28170","","","MAILLEBOIS ","Route de Senonches","silomaillebois@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","MAILLEBOIS - (Dépôt Appro Collecte)","0237480251","0237481620","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
"556","48.83323","1.1997001","","","27320","","","Marcilly la Campagne","12 rue six arbres","silomarcilly@natup.coop","","","24/07/2019","13:30","17:00","08:30","12:00","ouvert","MARCILLY LA CAMPAGNE - (Dépôt Appro Collecte)","0232580604","0232581506","De 13:30 à 17:00","De 08:30 à 12:00","1","1","Dépôt Appro Collecte","3"
